CSND	['b0337']
ADNt2pp	['b2964', 'b2393']
GTPDPDP	['b3779']
EX_asn_L_LPAREN_e_RPAREN_	['']
NTD10	['b2744']
NTD11	['b2744']
NTD12	['b2291', 'b2744']
HACD3i	['b2341', 'b3846']
XTSNH	['b0030']
DDPA	['b2601', 'b1704', 'b0754']
Htex	['b0241', 'b0929', 'b2215', 'b1377']
P5CD	['b1014']
2DGULRy	['b3553']
2DGULRx	['b3553']
GAMptspp	[['b1817', 'b1818', 'b1819', 'b2415', 'b2416']]
ETHAAL	[['b2440', 'b2441']]
P5CR	['b0386']
GLUTRR	['b1210']
GLUTRS	['b2400']
ULA4Ntppi	['']
GLCtexi	['b4036']
AGM4Pt2pp	['b0433']
EX_uacgam_LPAREN_e_RPAREN_	['']
KAS15	['b1091']
HBZOPT	['b4040']
LEUtex	['b2215', 'b0241', 'b1377', 'b0929']
G5SADs	['s0001']
ALAALAtex	['b2215', 'b0241', 'b1377', 'b0929']
FMNAT	['b0025']
ORNtex	['b2215', 'b0241', 'b1377', 'b0929']
2AGPG141tipp	['b2835']
RHAT1	['b3629']
OMMBLHX	['b0662']
OMPHHX	['b2907']
PANTS	['b0133']
E4PD	['b2927']
PLIPA2A180pp	['b3821']
TREHpp	['b1197']
G3PSabcpp	[['b3450', 'b3451', 'b3452', 'b3453']]
42A12BOOXpp	['b1386']
ACOAD1f	['b0221']
ACLS	[['b3670', 'b3671'], ['b0077', 'b0078']]
PUNP5	['b2407', 'b4384']
GLYCTO4	[['b2979', 'b4467', 'b4468']]
LPLIPAL2ATG120	['b3825']
GLYCTO3	[['b2979', 'b4467', 'b4468']]
GLYCTO2	[['b2979', 'b4467', 'b4468']]
O2Stex	['b2215', 'b0241', 'b1377', 'b0929']
LYXt2pp	['b3907']
LPLIPAL1A180pp	['b0494']
2AGPEAT181	['b2836']
2AGPEAT180	['b2836']
EX_hacolipa_LPAREN_e_RPAREN_	['']
DAPAL	['b2871']
EX_but_LPAREN_e_RPAREN_	['']
ARBTNtex	['']
PAPA181pp	['b1278']
COBALT2abcpp	['b3469']
CYTBO3_4pp	[['b0429', 'b0430', 'b0431', 'b0432']]
UMPtex	['b0241', 'b0929', 'b2215', 'b1377']
GALCTt2rpp	['b3127', 'b2789']
EX_rmn_LPAREN_e_RPAREN_	['']
LPLIPAL2G140	['b3825']
LPLIPAL2G141	['b3825']
PA160abcpp	['b0914']
ADSL2r	['b1131']
DSERt2pp	['b4208']
ACONIs	['s0001']
UAGPT3	['b0090']
ASPTA	['b0928']
GART	['b1849']
CYSDDS	['b1919']
GAMAN6Ptex	['b2215', 'b0241', 'b1377', 'b0929']
DHCIND	['b2541']
UDCPPtppi	['']
ASPO4	['b2574']
EAR121y	['b1288']
EAR121x	['b1288']
ALATRS	['b2697']
CTBTt2rpp	['b4111']
EX_tungs_LPAREN_e_RPAREN_	['']
EX_frulys_LPAREN_e_RPAREN_	['']
MDDCP2pp	['b2010', 'b0632', 'b0839', 'b3182']
UDPACGALtex	['b2215', 'b0241', 'b1377', 'b0929']
AOXSr	['b0776']
EX_hdcea_LPAREN_e_RPAREN_	['']
23DAPPAt2pp	['']
LEUTAi	['b3770', 'b4054']
GTHOXtex	['b2215', 'b0241', 'b1377', 'b0929']
EX_butso3_LPAREN_e_RPAREN_	['']
3AMPtex	['b2215', 'b0241', 'b1377', 'b0929']
XANtex	['b2215', 'b0241', 'b1377', 'b0929']
ACPS1	['b2563', 'b3475']
EX_ump_LPAREN_e_RPAREN_	['']
FCLK	['b2803']
EX_3amp_LPAREN_e_RPAREN_	['']
IPPMIa	[['b0071', 'b0072']]
EX_taur_LPAREN_e_RPAREN_	['']
2AGPG120tipp	['b2835']
EX_tcynt_LPAREN_e_RPAREN_	['']
CYNTt2pp	['b0341']
EX_so2_LPAREN_e_RPAREN_	['']
MOHMT	['b0134']
DHDPS	['b2478']
HCYSMT	['b0261']
CFAS180E	['b1661']
ALATA_D2	['b2551', 'b0870']
NI2t3pp	['b3915', 'b0752']
EDA	['b1850']
EDD	['b1851']
EX_arg_L_LPAREN_e_RPAREN_	['']
GTHOr	['b3500']
FRUK	['b2168']
GALBDtex	['b2215', 'b0241', 'b1377', 'b0929']
EX_4hoxpacd_LPAREN_e_RPAREN_	['']
GTHRDHpp	['b3447']
PRPPS	['b1207']
23PDE9pp	['b4213']
MALTTTRabcpp	[['b4032', 'b4033', 'b4034', 'b4035']]
SDPDS	['b2472']
MLTGY3pp	['b2701', 'b2963', 'b2813', 'b4392', 'b1193']
EX_14glucan_LPAREN_e_RPAREN_	['']
FTHFD	['b1232']
AGPAT120	['b3018']
XTSNtex	['b2215', 'b0241', 'b1377', 'b0929']
VALabcpp	[['b3454', 'b3455', 'b3456', 'b3457', 'b3460']]
EX_acgam1p_LPAREN_e_RPAREN_	['']
THMtex	['b2215', 'b0241', 'b1377', 'b0929']
GLUPRT	['b2312']
KAS14	['b2323', 'b1095']
PGPP180pp	['b1278', 'b0418']
TRPTRS	['b3384']
KDOPP	['b3198']
2AGPG181tipp	['b2835']
OCBT	['b4254', 'b0273']
EX_ptrc_LPAREN_e_RPAREN_	['']
DHORD2	['b0945']
DHORD5	['b0945']
