CSND	['SCO4634']
PMEACPE	['']
TDPGDH	['SCO0749', 'SCO6179']
GTPDPDP	['SCO3093', 'SCO3348']
GLYBabc	[['SCO2930', 'SCO2931', 'SCO2932', 'SCO2933'], ['SCO6062', 'SCO6063', 'SCO6064', 'SCO6065']]
XTSNH	['SCO3779']
DDPA	['SCO2115', 'SCO3210']
ACPPATi160	['']
P5CD	['SCO5520']
EAR110x	['SCO1814']
P5CR	['SCO3337']
SPRMS	['SCO3655', 'SCO2455']
GLUTRR	['SCO3319']
GLUTRS	['SCO5547']
NTD1e	['SCO4152']
MALTTTRabc	[['SCO2229', 'SCO2230', 'SCO2231', 'SCO4240']]
TARTt2_3	['']
3OAR70	['SCO1815', 'SCO1345', 'SCO1346', 'SCO4501', 'SCO1831', 'SCO4681', 'SCO0330']
MG2t	['SCO1667', 'SCO5157']
KAS15	['SCO1271', 'SCO2388', ['SCO2389', 'SCO6564'], 'SCO0549', 'SCO1267', 'SCO1272']
KAS14	['SCO0548', 'SCO2390', 'SCO1266']
CO2t	['s0001']
G5SADs	['s0001']
S2FE2SS2	[['SCO1921', 'SCO1922', 'SCO1924', 'SCO1925']]
PANTS	['SCO3383']
E4PD	['SCO1947', 'SCO7040', 'SCO7511']
SCYSDS	['SCO1921']
MG2uabc	['SCO2499']
EX_leu_DASH_L_LPAREN_e_RPAREN_	['']
PUNP4	['SCO4917']
ACOAD1f	['SCO1690', 'SCO2774', 'SCO6787', 'SCO2779']
ACLS	[['SCO5512', 'SCO5513'], 'SCO2769']
PUNP5	['SCO4917']
EX_meoh_LPAREN_e_RPAREN_	['']
GLYCTO1	['SCO2925']
ALLTNt2r	['SCO6417', 'SCO7500']
GLYCTO3	['SCO2925']
AKGt2r	['SCO6690']
COELICHELINR2	['']
COELICHELINR3	['']
COELICHELINR1	['']
MEOHtr	['s0001']
DAPAT	['']
EX_rmn_LPAREN_e_RPAREN_	['']
PPND	['SCO1761', 'SCO3221']
DADNt2	['']
ADSL2r	['SCO1254']
AAMYLe	['SCO2226']
ACONIs	['s0001']
UAGPT3	['SCO2084']
ASPTA	['SCO4645', 'SCO3658']
EAR110y	['SCO1814']
GLYCLTt4	['SCO1822']
LEUTA	['SCO1546', 'SCO5523']
EAR121y	['SCO1814']
EAR121x	['SCO1814']
FEOXAMER1	['']
EX_tungs_LPAREN_e_RPAREN_	['']
ACPpdsact	['SCO0046']
COBALT2t	['SCO1667', 'SCO5157']
FGLU	['']
3OAS110	['SCO0548', 'SCO2390', 'SCO1266']
GLYCLTt2i	['SCO3029']
NH4t	['SCO5583', 's0001']
3OARi60	['SCO1815', 'SCO1345', 'SCO1346', 'SCO4501', 'SCO1831', 'SCO4681', 'SCO0330']
