4HOXPACDOX(NADP)	MNXR68210
NDP7g	MNXR69526
GLYBabc	MNXR2744
Htex	MNXR3066
P5CD	MNXR69619
SPR	MNXR4894
OPAH	MNXR69596
P5CR	MNXR7299
SPRMS	MNXR4895
P4502D6	MNXR69613
DNDPt50m	MNXR55274
GLUTRR	MNXR48203
GLUTRS	MNXR48752
KAS15	MNXR3153
KAS14	MNXR36022
KAS17	MNXR69296
KAS16	MNXR69295
KAS11	MNXR3149
KAS10	MNXR3148
KAS13	MNXR3151
HAtly	MNXR69215
G5SADr	MNXR69079
G5SADs	MNXR69079
TRIODTHYSULT	MNXR5132
OP4ENH3	MNXR69594
OP4ENH2	MNXR69595
2AGPG141tipp	MNXR71
RHAT1	MNXR69858
PANTS	MNXR4088
UGT1A7r	MNXR70046
S2T4g	MNXR4684
42A12BOOXpp	MNXR222
ACOAD1f	MNXR68266
METSOX2tex	MNXR69436
PUNP5	MNXR4526
GLYCTO4	MNXR69174
GLYCTO1	MNXR2764
GLYCTO3	MNXR69173
GLYCTO2	MNXR55600
MUCCYCI	MNXR69492
COCOAHA	MNXR1234
IDOAASE3ly	MNXR69274
ADRNCPT2	MNXR68292
6HTSTSTERONEtr	MNXR286
ADRNCPT1	MNXR68292
ATPATF3	MNXR68423
ATPATF2	MNXR68422
2AGPEAT181	MNXR68138
2AGPEAT180	MNXR68137
LPS3	MNXR69378
LPS2	MNXR3328
6HTSTSTERONEte	MNXR286
4H2OGLTtm	MNXR229
CYO1-KT	MNXR68603
PEFLIPm	MNXR4152
TMPKr	MNXR69991
5FTHFt2	MNXR68221
XOLDIOLONEtm	MNXR70074
PAPA181pp	MNXR69634
PI345P5P	MNXR51017
4H2OGLTtp	MNXR229
PE160abcpp	MNXR69647
DMHDRFS	MNXR1628
PPND	MNXR4402
MALTHPabc	MNXR69391
LPSe	MNXR3327
NOt	MNXR3855
PRO1xm	MNXR26331
PMPK	MNXR69768
3HAACOAT140	MNXR68163
ASPO5	MNXR55084
EAR121y	MNXR1830
EAR121x	MNXR68772
GLUABUTt7	MNXR31598
TMABADH	MNXR6959
NOPD	MNXR3851
MDDCP2pp	MNXR69419
FAOXC182806m	MNXR68914
PLIPA1E160	MNXR69731
23DAPPAt2pp	MNXR68124
PHYHx	MNXR4258
PGPP_hs	MNXR4219
