Reaction ID	Reaction name	Lower bound	Reaction equation	GPR	Pathway
ALAD_L	L-alanine dehydrogenase	0.0	1.0 ala_DASH_L_c + 1.0 h2o_c + 1.0 nad_c -> 1.0 pyr_c + 1.0 nadh_c + 1.0 h_c + 1.0 nh4_c	(SAP1_RS33545)	Alanine and Aspartate Metabolism
ALAR	alanine racemase	-1000.0	1.0 ala_DASH_L_c <=> 1.0 ala_DASH_D_c	(SAP1_RS25710)	Alanine and Aspartate Metabolism
ALATA_L	L-alanine transaminase	-1000.0	1.0 akg_c + 1.0 ala_DASH_L_c <=> 1.0 glu_DASH_L_c + 1.0 pyr_c	(SAP1_RS17065 or SAP1_RS25410 or SAP1_RS10605)	Alanine and Aspartate Metabolism
APAT2r	3-Aminopropanoate:2-oxoglutarate aminotransferase	-1000.0	1.0 akg_c + 1.0 ala_DASH_B_c <=> 1.0 glu_DASH_L_c + 1.0 msa_c	(SAP1_RS23595 or SAP1_RS11990 or SAP1_RS10325 or SAP1_RS36625 or SAP1_RS17755 or SAP1_RS13505 or SAP1_RS12905 or SAP1_RS34840 or SAP1_RS08745 or SAP1_RS13645 or SAP1_RS36875 or SAP1_RS23595 or SAP1_RS11990 or SAP1_RS10325 or SAP1_RS36625 or SAP1_RS17755 or SAP1_RS13505 or SAP1_RS12905 or SAP1_RS08745 or SAP1_RS13645 or SAP1_RS36875 or SAP1_RS36525)	Alanine and Aspartate Metabolism
ASNS1	asparagine synthase (glutamine-hydrolysing)	0.0	1.0 h2o_c + 1.0 asp_DASH_L_c + 1.0 atp_c + 1.0 gln_DASH_L_c -> 1.0 ppi_c + 1.0 asn_DASH_L_c + 1.0 amp_c + 1.0 glu_DASH_L_c + 1.0 h_c	(SCO0386)	Alanine and Aspartate Metabolism
ASPO1	L-aspartate oxidase	0.0	1.0 o2_c + 1.0 h2o_c + 1.0 asp_DASH_L_c -> 1.0 h2o2_c + 1.0 nh4_c + 1.0 oaa_c	(SAP1_RS24285 or SAP1_RS17635 or SAP1_RS16530)	Alanine and Aspartate Metabolism
ASPTA	aspartate transaminase	-1000.0	1.0 akg_c + 1.0 asp_DASH_L_c <=> 1.0 glu_DASH_L_c + 1.0 oaa_c	(SAP1_RS17065 or SAP1_RS23410 or SAP1_RS25410 or SAP1_RS10605)	Alanine and Aspartate Metabolism
3OXCOAT	3-oxoadipyl-CoA thiolase	0.0	1.0 coa_c + 1.0 oxadpcoa_c -> 1.0 succoa_c + 1.0 accoa_c	(SAP1_RS08925 or SAP1_RS09030 or SAP1_RS30200 or SAP1_RS18210 or SAP1_RS11745 or SAP1_RS36190 or SAP1_RS08535 or SAP1_RS14895 or SAP1_RS07410 or SAP1_RS31995 or SAP1_RS08925 or SAP1_RS30200 or SAP1_RS18210 or SAP1_RS11745 or SAP1_RS36190 or SAP1_RS08535 or SAP1_RS14895 or SAP1_RS07410 or SAP1_RS31995)	Alternate Carbon Metabolism
5DGLCNR	5-dehydro-D-gluconate reductase	-1000.0	1.0 5dglcn_c + 1.0 nadph_c + 1.0 h_c <=> 1.0 glcn_c + 1.0 nadp_c	(SAP1_RS18925 or SAP1_RS36100 or SAP1_RS37505 or SAP1_RS10165 or SAP1_RS13080 or SAP1_RS33310 or SAP1_RS34140 or SAP1_RS18390 or SAP1_RS37615)	Alternate Carbon Metabolism
6PHBG	6-phospho-beta-glucosidase	0.0	1.0 h2o_c + 1.0 salc6p_c -> 1.0 g6p_c + 1.0 2hymeph_c	(SAP1_RS09290 or SAP1_RS27835)	Alternate Carbon Metabolism
AAMYLe	alpha-amylase	0.0	1.0 14glucan_e -> 1.0 malthx_e	(SAP1_RS30900)	Alternate Carbon Metabolism
ACM6PH	N-acetylmuramate 6-phosphate hydrolase	0.0	1.0 acmum6p_c + 1.0 h2o_c -> 1.0 lac_DASH_D_c + 1.0 acgam6p_c	(SAP1_RS20330)	Alternate Carbon Metabolism
ACS2	acetyl-CoA synthase (propionate)	0.0	1.0 ppa_c + 1.0 coa_c + 1.0 atp_c -> 1.0 ppi_c + 1.0 amp_c + 1.0 ppcoa_c	(SAP1_RS20040 or SAP1_RS23835 or SAP1_RS03320 or SAP1_RS11965 or SAP1_RS35895 or SAP1_RS12105)	Alternate Carbon Metabolism
AGDC	N-acetylglucosamine-6-phosphate deacetylase	0.0	1.0 h2o_c + 1.0 acgam6p_c -> 1.0 gam6p_c + 1.0 ac_c	(SAP1_RS20415)	Alternate Carbon Metabolism
