Metabolite ID	Metabolite name	Formula	Compartment
dcaACP_c	Decanoyl-ACP (n-C10:0ACP)	C21H39N2O8PRS	c
2aobut_c	L-2-Amino-3-oxobutanoate	C4H7NO3	c
C01190_c	beta-D-Glucosyl-(1<->1)-ceramide	C25H46NO8R	c
2pglyc_c	2-phosphonatoglycolate(3-)	C2H2O6P	c
eig3p_c	D-erythro-1-(Imidazol-4-yl)glycerol 3-phosphate	C6H9N2O6P	c
apoACPredN_c	apoprotein [acyl carrier protein] (RED - redN)	RHO	c
2ahbut_c	(S)-2-Aceto-2-hydroxybutanoate	C6H9O4	c
dad_DASH_5_c	5'-Deoxyadenosine	C10H13N5O3	c
btamp_c	Biotinyl-5'-AMP	C20H27N7O9PS	c
pyr_c	Pyruvate	C3H3O3	c
pyr_e	Pyruvate	C3H3O3	e
C00999_c	Ferrocytochrome		c
cmpacna_c	CMP-N-acetyl-beta-neuraminate	C20H29N4O16P	c
tdecoa_c	Tetradecenoyl-CoA (n-C14:1CoA)	C35H56N7O17P3S	c
pei150_c	phosphatidylethanolamine (diisopentadecanoyl, iso-C15:0)	C35H70N1O8P1	c
xtsn_e	Xanthosine	C10H12N4O6	e
xtsn_c	Xanthosine	C10H12N4O6	c
pgp150_c	Phosphatidylglycerophosphate (dipentadecanoyl, n-C15:0)	C36H69O13P2	c
3hmrsACP_c	(R)-3-Hydroxytetradecanoyl-[acyl-carrier protein]	C25H47N2O9PRS	c
tiC82eACP_c	trans-isooct-2-enoyl-[acyl-carrier protein]	C19H33N2O8PRS	c
cptrc_c	N-Carbamoylputrescine	C5H14N3O	c
C00760_c	Cellulose	(C6H10O5)n	c
8aonn_c	8-Amino-7-oxononanoate	C9H17NO3	c
tagi140_c	Triacylglycerol (triisotetradecanoyl, iso-C14:0)	C45H86O6	c
C16396_c	2,4-Diamino-6-nitrotoluene	C7H9N3O2	c
adn_c	Adenosine	C10H13N5O4	c
metsox_DASH_R_DASH_L_c	L-methionine-R-sulfoxide	C5H11NO3S	c
5dglcn_c	5-Dehydro-D-gluconate	C6H9O7	c
5dglcn_e	5-Dehydro-D-gluconate	C6H9O7	e
ps141_c	phosphatidylserine (ditetradec-7-enoyl, n-C14:1)	C34H61N1O10P1	c
C04563_c	D-myo-Inositol	C6H17O21P5	c
C13645_c	Hydrobromic	HBr	c
uamag_c	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate	C28H39N5O23P2	c
Lcyst_c	L-cysteate(1-)	C3H6NO5S	c
ump_c	UMP	C9H11N2O9P	c
glyc_DASH_R_e	(R)-Glycerate	C3H5O4	e
glyc_DASH_R_c	(R)-Glycerate	C3H5O4	c
