Reaction ID	Reaction name	Lower bound	Reaction equation	GPR	Pathway
ALAD_L	L-alanine dehydrogenase	0.0	1.0 ala_DASH_L_c + 1.0 h2o_c + 1.0 nad_c -> 1.0 pyr_c + 1.0 nadh_c + 1.0 nh4_c + 1.0 h_c	(SVEN_RS06890)	Alanine and Aspartate Metabolism
ALAR	alanine racemase	-1000.0	1.0 ala_DASH_L_c <=> 1.0 ala_DASH_D_c	(SVEN_RS21960)	Alanine and Aspartate Metabolism
ALATA_L	L-alanine transaminase	-1000.0	1.0 ala_DASH_L_c + 1.0 akg_c <=> 1.0 pyr_c + 1.0 glu_DASH_L_c	(SVEN_RS23155 or SVEN_RS07920 or SVEN_RS21525)	Alanine and Aspartate Metabolism
APAT2r	3-Aminopropanoate:2-oxoglutarate aminotransferase	-1000.0	1.0 akg_c + 1.0 ala_DASH_B_c <=> 1.0 glu_DASH_L_c + 1.0 msa_c	(SVEN_RS27175 or SVEN_RS05725 or SVEN_RS26385 or SVEN_RS31975 or SVEN_RS34995 or SVEN_RS24265 or SVEN_RS01080 or SVEN_RS16710 or SVEN_RS26500 or SVEN_RS30585 or SVEN_RS22390 or SVEN_RS27175 or SVEN_RS05725 or SVEN_RS26385 or SVEN_RS31975 or SVEN_RS33555 or SVEN_RS34995 or SVEN_RS04090 or SVEN_RS16710 or SVEN_RS26500 or SVEN_RS30585 or SVEN_RS22390)	Alanine and Aspartate Metabolism
ASNS1	asparagine synthase (glutamine-hydrolysing)	0.0	1.0 h2o_c + 1.0 asp_DASH_L_c + 1.0 atp_c + 1.0 gln_DASH_L_c -> 1.0 asn_DASH_L_c + 1.0 ppi_c + 1.0 amp_c + 1.0 glu_DASH_L_c + 1.0 h_c	(SVEN_RS03145 or SVEN_RS20365 or SVEN_RS35625)	Alanine and Aspartate Metabolism
ASPO1	L-aspartate oxidase	0.0	1.0 o2_c + 1.0 h2o_c + 1.0 asp_DASH_L_c -> 1.0 h2o2_c + 1.0 nh4_c + 1.0 oaa_c	(SVEN_RS15990 or SVEN_RS22500 or SVEN_RS23600)	Alanine and Aspartate Metabolism
ASPTA	aspartate transaminase	-1000.0	1.0 akg_c + 1.0 asp_DASH_L_c <=> 1.0 glu_DASH_L_c + 1.0 oaa_c	(SVEN_RS23155 or SVEN_RS07920 or SVEN_RS21525 or SVEN_RS16920)	Alanine and Aspartate Metabolism
3OXCOAT	3-oxoadipyl-CoA thiolase	0.0	1.0 coa_c + 1.0 oxadpcoa_c -> 1.0 succoa_c + 1.0 accoa_c	(SVEN_RS04315 or SVEN_RS28910 or SVEN_RS08175 or SVEN_RS25060 or SVEN_RS34080 or SVEN_RS13995 or SVEN_RS31770 or SVEN_RS10045 or SVEN_RS04315 or SVEN_RS28910 or SVEN_RS08175 or SVEN_RS25060 or SVEN_RS34080 or SVEN_RS13995 or SVEN_RS31770 or SVEN_RS10045)	Alternate Carbon Metabolism
5DGLCNR	5-dehydro-D-gluconate reductase	-1000.0	1.0 5dglcn_c + 1.0 nadph_c + 1.0 h_c <=> 1.0 glcn_c + 1.0 nadp_c	(SVEN_RS07105 or SVEN_RS04390 or SVEN_RS00305 or SVEN_RS29170 or SVEN_RS26830 or SVEN_RS29680)	Alternate Carbon Metabolism
6PHBG	6-phospho-beta-glucosidase	0.0	1.0 h2o_c + 1.0 salc6p_c -> 1.0 g6p_c + 1.0 2hymeph_c	(SVEN_RS31665 or SVEN_RS12040)	Alternate Carbon Metabolism
