REACT_143738	MNXR78385
REACT_149329	MNXR78351
GLYCPDIESTER-RXN	MNXR59196
HALOALKANE-DEHALOGENASE-RXN	MNXR37148
RXN00602	MNXR70258
RXN00603	MNXR70259
RXN00600	MNXR5732
RXN00601	MNXR5733
RXN00606	MNXR2802
RXN00607	MNXR3759
RXN00604	MNXR70260
RXN00605	MNXR2909
RXN-11105	MNXR76606
RXN-11104	MNXR71509
RXN00608	MNXR70261
RXN00609	MNXR56213
RXN-11101	MNXR9011
3.6.3.33-RXN	MNXR19984
OPAH	MNXR69596
RXN-11102	MNXR8981
1.3.99.17-RXN	MNXR75943
REACT_153947	MNXR6355
REACT_153945	MNXR78699
REACT_153948	MNXR69443
REACT_96805	MNXR63826
REACT_96800	MNXR78435
REACT_96802	MNXR68265
TRIODTHYSULT	MNXR5132
2AGPG141tipp	MNXR71
REACT_154445	MNXR78590
REACT_154442	MNXR78489
REACT_154443	MNXR79001
REACT_154441	MNXR25157
REACT_81324	MNXR78816
METSOX2tex	MNXR69436
REACT_81320	MNXR78556
UCR02493	MNXR4534
UCR02494	MNXR3064
MUCCYCI	MNXR69492
IDOAASE3ly	MNXR69274
REACT_136084	MNXR4373
BR177	MNXR6493
16709	MNXR5137
16708	MNXR6851
DGTPTRIPHYDRO-RXN	MNXR69563
16705	MNXR6851
16704	MNXR15026
16707	MNXR6851
16706	MNXR6851
16701	MNXR15026
16700	MNXR26380
16703	MNXR15026
16702	MNXR15026
REACT_149322	MNXR78814
XOLDIOLONEtm	MNXR70074
17258	MNXR7581
17259	MNXR7581
22742	MNXR11794
17257	MNXR7581
10709	MNXR36818
10708	MNXR36818
DMHDRFS	MNXR1628
10703	MNXR6608
10702	MNXR6608
10701	MNXR6608
10700	MNXR6608
10707	MNXR50045
10706	MNXR50045
10705	MNXR50045
10704	MNXR50045
FUC13GALACGLCGAL14ACGLCGALGLUSIDEte	MNXR2320
21619	MNXR8124
21618	MNXR8124
21615	MNXR7637
RXN-11109	MNXR892
21617	MNXR8124
21616	MNXR8124
21611	MNXR8619
21610	MNXR8619
21613	MNXR7637
RXN-11108	MNXR71565
BS360866	MNXR72226
2.5.1.46-RXN	MNXR19533
BS94087	MNXR14457
GMPR	MNXR2787
ENDOPOLYPHOSPHATASE-RXN	MNXR73598
EAR121y	MNXR1830
EAR121x	MNXR68772
REACT_84852	MNXR5288
RXN-11106	MNXR8789
DM_dgtp(n)	MNXR1530
REACT_84854	MNXR5039
RXN-11100	MNXR76605
PAPtg	MNXR4105
PAPtm	MNXR4105
BR49079	MNXR57326
REACT_109529	MNXR78424
REACT_109528	MNXR78662
REACT_109521	MNXR69639
REACT_109520	MNXR1576
BR49078	MNXR71557
BS231300	MNXR7111
REACT_96308	MNXR3164
13058	MNXR6287
13059	MNXR6287
REACT_112439	MNXR78464
REACT_112435	MNXR3030
REACT_112434	MNXR4018
REACT_112437	MNXR78295
2.1.1.135-RXN	MNXR71009
REACT_112431	MNXR78267
13057	MNXR6287
13054	MNXR8072
2.4.1.36-RXN	MNXR76018
RXN-7938	MNXR14391
MECOAS1m	MNXR69429
BS370414	MNXR11169
BS370415	MNXR11170
BS370416	MNXR11171
REACT_143184	MNXR78308
REACT_143183	MNXR78862
BS370411	MNXR8037
RXN-7933	MNXR8886
BS320820	MNXR72061
BS320821	MNXR72062
BS320822	MNXR10394
BS320823	MNXR72063
BS320824	MNXR72064
BS320825	MNXR72065
BS320826	MNXR10398
BS320827	MNXR10399
BS320828	MNXR72066
BS320829	MNXR72067
RXN-11921	MNXR17834
RXN-11920	MNXR76771
RXN-11927	MNXR21795
RXN-11926	MNXR21794
AGPAT120	MNXR68311
RXN-11924	MNXR21792
REACT_114870	MNXR78386
BR49075	MNXR8970
BS363712	MNXR10767
BS363719	MNXR37261
BS93081	MNXR14417
CERS224	MNXR65605
TRPTRS	MNXR48617
CERS226	MNXR65586
PEPCK	MNXR69652
REACT_131042	MNXR2856
BS93083	MNXR14418
BR49074	MNXR4888
CPGNexs	MNXR68579
27619	MNXR65506
rxn12259	MNXR29318
rxn12256	MNXR29315
27616	MNXR65505
rxn12254	MNXR67732
27614	MNXR65505
rxn12252	MNXR29311
rxn12253	MNXR80807
rxn12250	MNXR29309
27610	MNXR68996
RXN-12475	MNXR76903
RXN-12476	MNXR76904
RXN-12477	MNXR59007
RXN-12471	MNXR57543
RXN-12472	MNXR57542
RXN-12473	MNXR22178
6.3.2.16-RXN	MNXR36987
RXN-12478	MNXR22182
RXN-12479	MNXR59006
MCBTS3	MNXR69408
MCBTS2	MNXR69407
BS378648	MNXR72736
BR47929	MNXR8353
BR47928	MNXR8352
GHMT2rm	MNXR2619
BS378640	MNXR11884
BR47927	MNXR8351
BR47926	MNXR8350
BR47921	MNXR8345
BR47920	MNXR8344
BR47923	MNXR8347
BR47922	MNXR8346
BR49076	MNXR8971
PROPIONLACT-RXN	MNXR14826
ALLTAHr	MNXR665
