D_LACt2m	MNXR29875
NDP7g	MNXR69526
METtm	MNXR3506
PLA2_2_18_1_20_4	MNXR83840
GLYBabc	MNXR2744
Htex	MNXR3066
P5CD	MNXR69619
ARABDI	MNXR81718
SPP	MNXR5914
SPR	MNXR72523
SPS	MNXR84205
HMGL_1	MNXR2984
P5CR	MNXR7299
SPRMS	MNXR4895
P4502D6	MNXR69613
EX_glyclt_e	MNXR2763
DNDPt50m	MNXR55274
GLUTRR	MNXR48203
GLUTRS	MNXR48752
HPPK_1	MNXR83125
MG2t	MNXR3516
KARI_23dhmp	MNXR83171
KAS15	MNXR3153
KAS14	MNXR83172
KAS17	MNXR83173
EX_hxa_e	MNXR3057
KAS11	MNXR3149
KAS10	MNXR3148
KAS13	MNXR3151
HAtly	MNXR69215
G5SADs	MNXR69079
TRIODTHYSULT	MNXR5132
KARI_23dhmb	MNXR74267
OP4ENH3	MNXR69594
METt4	MNXR3505
2AGPG141tipp	MNXR71
RHAT1	MNXR69858
PANTS	MNXR4088
UGT1A7r	MNXR70046
S2T4g	MNXR4684
EX_pydam_e	MNXR4535
ACOAD1z	MNXR81482
MG2B	MNXR83313
42A12BOOXpp	MNXR81393
ACOAD1f	MNXR81478
H7_ETer	MNXR2891
TMAOR2e	MNXR26771
GLYCTO4	MNXR69174
GLYCTO1	MNXR2764
GLYCTO3	MNXR69173
GLYCTO2	MNXR55600
FACOAE1839Z12Z15Z	MNXR82692
MUCCYCI	MNXR69492
COCOAHA	MNXR1234
IDOAASE3ly	MNXR55649
EX_estradiolglc_e	MNXR68812
ADRNCPT2	MNXR81569
6HTSTSTERONEtr	MNXR286
ADRNCPT1	MNXR81569
TAGAH18111Z1819Z1835Z9Z12Z	MNXR84286
ATPATF3	MNXR68423
ATPATF2	MNXR887
2AGPEAT181	MNXR68
2AGPEAT180	MNXR68137
SUCHMSSELCYSL	MNXR11613
PRISM_high_pressure_sodium	MNXR84011
LPS3	MNXR69378
FCLT_1	MNXR70157
6HTSTSTERONEte	MNXR286
4H2OGLTtm	MNXR229
CYOO2pp	MNXR81112
PEFLIPm	MNXR4152
5FTHFt2	MNXR68221
XOLDIOLONEtm	MNXR70074
PAPA181pp	MNXR69634
3OPHB5Hm	MNXR60306
ACCOAhi	MNXR358
GCPN	MNXR4130
4H2OGLTtp	MNXR229
PE160abcpp	MNXR69647
DMHDRFS	MNXR82308
PPAt2pp	MNXR27810
HMPSCD	MNXR83119
PPND	MNXR83993
MALTHPabc	MNXR83273
AGPAT1_18_0_18_2	MNXR81611
AGPAT1_18_0_18_0	MNXR81609
AGPAT1_18_0_18_1	MNXR81610
ACOADAGAT18111Z1819Z160	MNXR81510
NOt	MNXR3855
PRO1xm	MNXR26331
ECOAH7_1	MNXR1871
PMPK	MNXR69768
CODSCL6ARED	MNXR82030
G13MT	MNXR82917
EX_acmum_e	MNXR398
ASPO4	MNXR81765
3HAACOAT141	MNXR68164
EAR121y	MNXR1830
EAR121x	MNXR68772
