R06208	MNXR84822
R06209	MNXR14946
R07880	MNXR75218
R06200	MNXR84996
R06201	MNXR84893
R06202	MNXR73725
R06203	MNXR14817
R06204	MNXR84757
R08507	MNXR60833
R06206	MNXR36197
R06207	MNXR85417
R10504	MNXR21183
R07882	MNXR75220
R07885	MNXR75223
R07884	MNXR85686
R10096	MNXR75817
R07887	MNXR75225
R07886	MNXR75224
R10505	MNXR21184
R08859	MNXR85838
R10097	MNXR61350
R08858	MNXR85837
R09968	MNXR77488
R10094	MNXR61347
R09969	MNXR75782
R10507	MNXR84020
R09679	MNXR71611
R09964	MNXR75778
R08516	MNXR13029
R09965	MNXR75779
R01007	MNXR73717
R01006	MNXR84828
R01005	MNXR84378
R01004	MNXR20324
R01003	MNXR37096
R01001	MNXR1358
R01000	MNXR96
R01009	MNXR73718
R01008	MNXR61540
R08517	MNXR85774
R10501	MNXR86174
R03359	MNXR78192
R03358	MNXR8548
R03351	MNXR69298
R03350	MNXR3175
R03353	MNXR1852
R03352	MNXR5724
R03355	MNXR59478
R03354	MNXR57570
R03357	MNXR6815
R03356	MNXR85059
R01263	MNXR14762
R01262	MNXR84567
R01261	MNXR14760
R01260	MNXR73740
R01267	MNXR71061
R01266	MNXR6525
R01265	MNXR14764
R01264	MNXR14763
R01269	MNXR3839
R01268	MNXR3835
R08512	MNXR85773
R08513	MNXR60836
R08510	MNXR60835
R02006	MNXR71396
R02007	MNXR70711
R02004	MNXR71395
R02002	MNXR59310
R02003	MNXR69185
R02000	MNXR20782
R02008	MNXR84903
R02009	MNXR70691
R10742	MNXR86353
R10743	MNXR86354
R10216	MNXR62784
R10217	MNXR62793
R10210	MNXR62792
R10211	MNXR86027
R08511	MNXR75478
R10213	MNXR62787
R10748	MNXR4086
R10749	MNXR86358
R10218	MNXR21017
R10219	MNXR75856
R05588	MNXR71186
R05586	MNXR16213
R05587	MNXR16214
R05584	MNXR85360
R05585	MNXR85361
R05582	MNXR59883
R05583	MNXR80214
R05580	MNXR74511
R05581	MNXR59882
R06859	MNXR74897
R06858	MNXR74896
R06855	MNXR16942
R06854	MNXR85496
R06857	MNXR16944
R06856	MNXR16943
R06851	MNXR16938
R06850	MNXR16937
R06853	MNXR85495
R06852	MNXR16939
R04989	MNXR36135
R04988	MNXR3953
R04985	MNXR59754
R04984	MNXR74380
R04987	MNXR15867
R04986	MNXR3978
R04981	MNXR15862
R04980	MNXR15861
R04983	MNXR59752
R04982	MNXR15863
R08315	MNXR18008
R04185	MNXR15590
R04184	MNXR15589
R04187	MNXR6030
R04186	MNXR6822
R04180	MNXR85190
R04183	MNXR15588
R04182	MNXR59613
R08316	MNXR18009
R04189	MNXR4763
R04188	MNXR30457
R10256	MNXR86037
R03519	MNXR85084
R03518	MNXR15343
R03517	MNXR15342
R03516	MNXR48591
R03515	MNXR48590
R03514	MNXR65439
R03513	MNXR85083
R03512	MNXR70743
R03511	MNXR70742
R03510	MNXR79253
R07522	MNXR17361
R07523	MNXR17362
R07520	MNXR26791
R07521	MNXR17360
R07526	MNXR85618
R07527	MNXR17366
R07524	MNXR17363
R07525	MNXR85617
R07528	MNXR17367
R07529	MNXR17368
R03632	MNXR15388
R03633	MNXR7684
R03630	MNXR7513
R03631	MNXR2026
R03636	MNXR77507
R03637	MNXR71992
R03634	MNXR35877
R03635	MNXR85108
R03638	MNXR70914
R03639	MNXR15392
R01854	MNXR39704
R01855	MNXR3894
R01856	MNXR69563
R01857	MNXR69533
R01850	MNXR33533
R01851	MNXR33396
R01853	MNXR35650
R01858	MNXR59293
R01859	MNXR83988
R08530	MNXR18199
R08531	MNXR18200
R08532	MNXR18201
R08533	MNXR75483
R08534	MNXR75484
R08535	MNXR18204
R08536	MNXR18205
R08537	MNXR85781
R08538	MNXR85782
R08539	MNXR18208
R03188	MNXR6645
R03189	MNXR39706
R03184	MNXR5634
R03185	MNXR85035
R03186	MNXR85036
R03187	MNXR6117
R03180	MNXR55041
R03181	MNXR3379
R03182	MNXR1455
R03183	MNXR31596
R06693	MNXR74827
R06692	MNXR85470
R06691	MNXR74825
R06690	MNXR60227
R06697	MNXR85471
R06696	MNXR74829
R06695	MNXR60231
R06694	MNXR74828
R09284	MNXR85896
R06699	MNXR74832
R06698	MNXR74831
R02583	MNXR73922
R02581	MNXR1071
R02580	MNXR56582
R02587	MNXR6726
R02586	MNXR71357
R02585	MNXR20666
R02584	MNXR19561
R02589	MNXR7503
R02588	MNXR84962
R00725	MNXR73684
R00724	MNXR73683
R00727	MNXR73685
R00726	MNXR71850
R00720	MNXR3904
R00723	MNXR73682
R00722	MNXR69536
R09285	MNXR85897
R00729	MNXR73445
R00728	MNXR7124
R05002	MNXR69050
R05001	MNXR15871
R05000	MNXR85295
R06079	MNXR36154
R06078	MNXR61715
R06077	MNXR84997
R06076	MNXR60011
R06075	MNXR85410
R06074	MNXR85409
R06073	MNXR84205
R06072	MNXR85211
R06071	MNXR8142
R06070	MNXR32322
R08376	MNXR18062
R05443	MNXR3658
R00122	MNXR890
R05337	MNXR9004
