MNXR6544	['R05559']
MNXR8691	['R01731']
MNXR68774	['R04967']
MNXR8698	['R09535']
MNXR68770	['R04724']
MNXR68771	['R04725']
MNXR68773	['R04966']
MNXR18526	['R08968']
MNXR73605	['R00067']
MNXR73600	['R00014']
MNXR73601	['R00033']
MNXR73602	['R00034']
MNXR18521	['R08954']
MNXR18528	['R08972']
MNXR47455	['R04721']
MNXR18030	['R08340']
MNXR86309	['R10683']
MNXR86308	['R10682']
MNXR86305	['R10679']
MNXR86304	['R10678']
MNXR56012	['R04573']
MNXR86306	['R10680']
MNXR86301	['R10672']
MNXR86300	['R10671']
MNXR56016	['R02389']
MNXR86302	['R10674']
MNXR14912	['R01910']
MNXR83571	['R02021']
MNXR83575	['R05150']
MNXR86187	['R10522']
MNXR83577	['R05177']
MNXR83576	['R05149']
MNXR3468	['R00343']
MNXR15652	['R04366']
MNXR15655	['R04375']
MNXR3463	['R09129']
MNXR3464	['R00342']
MNXR7019	['R01922']
MNXR7543	['R03891', 'R04061']
MNXR18522	['R08958']
MNXR7541	['R01594']
MNXR62810	['R10426']
MNXR7547	['R01506']
MNXR7546	['R08527']
MNXR7544	['R04602']
MNXR26286	['R00281']
MNXR26287	['R03556']
MNXR5284	['R07662']
MNXR1317	['R00571']
MNXR63142	['R10277']
MNXR26288	['R05151']
MNXR63141	['R10287']
MNXR17879	['R08141']
MNXR17878	['R08140']
MNXR17871	['R08133']
MNXR17870	['R08132']
MNXR17873	['R08135']
MNXR32767	['R00253']
MNXR17875	['R08137']
MNXR17874	['R08136']
MNXR17877	['R08139']
MNXR74925	['R06924']
MNXR19034	['R09831']
MNXR70551	['R02591']
MNXR70770	['R03331']
MNXR842	['R00485']
MNXR844	['R00483']
MNXR4160	['R04210']
MNXR14522	['R00077']
MNXR14523	['R00082']
MNXR59408	['R02823']
MNXR14521	['R00076']
MNXR14830	['R01467']
MNXR14524	['R00083']
MNXR14525	['R00091']
MNXR59402	['R02802']
MNXR59405	['R02806']
MNXR26757	['R03532']
MNXR57823	['R04523']
MNXR80079	['R03714']
MNXR6834	['R01542']
MNXR6836	['R02456']
MNXR6837	['R00880']
MNXR6833	['R01543']
MNXR86470	['R10879']
MNXR74899	['R06862']
MNXR74729	['R06436']
MNXR74894	['R06830']
MNXR74895	['R06848']
MNXR74896	['R06858']
MNXR74897	['R06859']
MNXR74722	['R06415']
MNXR74720	['R06413']
MNXR74721	['R06414']
MNXR18704	['R09224']
MNXR65684	['R10204']
MNXR59899	['R05617']
MNXR65682	['R10272']
MNXR65681	['R10271']
MNXR59890	['R05600']
MNXR35356	['R06423']
MNXR59892	['R05603']
MNXR159	['R02080']
MNXR5569	['R00538', 'R00631']
MNXR8848	['R06302']
MNXR8847	['R09681']
MNXR8846	['R09121']
MNXR8845	['R09120']
MNXR8844	['R09119']
MNXR154	['R03027']
MNXR156	['R06787']
MNXR33976	['R07276']
MNXR79265	['R07230']
MNXR86303	['R10677']
MNXR79269	['R03734']
MNXR33978	['R03479']
MNXR74094	['R03558']
MNXR74090	['R03547']
MNXR74091	['R03548']
MNXR15016	['R02323']
MNXR15011	['R02298']
MNXR74099	['R03573']
MNXR16605	['R06406']
MNXR16604	['R06405']
MNXR11922	['R10343']
MNXR18869	['R09424']
MNXR18868	['R09423']
MNXR5787	['R01358']
MNXR18863	['R09417']
MNXR18862	['R09416']
MNXR5789	['R03253']
MNXR18860	['R09414']
MNXR18867	['R09422']
MNXR18866	['R09421']
MNXR18865	['R09419']
MNXR18864	['R09418']
MNXR84798	['R00770']
MNXR84799	['R00781']
MNXR84828	['R01006']
MNXR84829	['R01019']
MNXR84794	['R00763']
MNXR84795	['R00765']
MNXR84796	['R00767']
MNXR84825	['R00912']
MNXR84790	['R00640']
MNXR84791	['R00644']
MNXR84792	['R00645']
MNXR84793	['R00761']
MNXR18700	['R09218']
MNXR21017	['R10218']
MNXR21547	['R08842']
