M444_09920	phosphoglycerate kinase	['2.7.2.3']
M444_05950	acetyl-CoA acetyltransferase	['2.3.1.9']
M444_10240	enoyl-CoA hydratase	['4.2.1.17']
M444_15845	formyltetrahydrofolate deformylase	['3.5.1.10']
M444_14005	bifunctional uroporphyrinogen-III synthetase/response regulator domain protein	['4.2.1.75']
M444_25105	4-aminobutyrate aminotransferase	['2.6.1.19']
M444_24350	3-isopropylmalate dehydrogenase	['1.1.1.85']
M444_28355	UDP pyrophosphate phosphatase	['3.6.1.27']
M444_24355	branched-chain amino acid aminotransferase	['2.6.1.42']
M444_19695	pantothenate kinase	['2.7.1.33']
M444_19280	DNA polymerase III subunit delta'	['2.7.7.7']
M444_26135	methylmalonyl-CoA mutase	['5.4.99.2']
M444_12330	glycyl-tRNA ligase	['6.1.1.14']
M444_14555	enolase	['4.2.1.11']
M444_07045	glycine dehydrogenase	['1.4.4.2']
M444_07800	3-dehydroquinate dehydratase	['4.2.1.10']
M444_14490	acetyl-CoA acetyltransferase	['2.3.1.9']
M444_20355	NADH:ubiquinone oxidoreductase subunit K	['1.6.99.5']
M444_02175	phosphoenolpyruvate synthase	['2.7.9.2']
M444_26230	arginine deiminase	['3.5.3.6']
M444_26235	ornithine carbamoyltransferase	['2.1.3.3']
M444_23845	glycogen branching protein	['2.4.1.18']
M444_07365	3,4-dihydroxy-2-butanone 4-phosphate synthase	['4.1.99.12']
M444_29455	lysine--tRNA ligase	['6.1.1.6']
M444_29610	amidase	['3.5.1.4']
M444_16605	polyphosphate kinase	['2.7.4.1']
M444_29270	enoyl-CoA hydratase	['4.2.1.17']
M444_30905	ATP-dependent DNA ligase	['6.5.1.1']
M444_28665	6-phosphofructokinase	['2.7.1.11']
M444_21810	phosphoenolpyruvate carboxykinase	['4.1.1.32']
M444_24060	serine hydroxymethyltransferase	['2.1.2.1']
M444_24545	glycerol-3-phosphate dehydrogenase	['1.1.1.94']
M444_16210	threonine synthase	['4.2.3.1']
M444_08000	threonine--tRNA ligase	['6.1.1.3']
M444_21750	threonine dehydratase	['4.3.1.19']
M444_06080	2-amino-3-ketobutyrate CoA ligase	['2.3.1.29']
M444_26245	enoyl-CoA hydratase	['4.2.1.17']
M444_06085	L-threonine 3-dehydrogenase	['1.1.1.103']
M444_28615	urease subunit gamma	['3.5.1.5']
M444_22460	N-succinyldiaminopimelate aminotransferase	['2.6.1.17']
M444_23810	pyruvate kinase	['2.7.1.40']
M444_24270	acetolactate synthase 1 catalytic subunit	['2.2.1.6']
M444_23665	acetyl-CoA acetyltransferase	['2.3.1.9']
M444_17900	para-aminobenzoate synthase	['2.6.1.85']
M444_18890	adenylosuccinate synthetase	['6.3.4.4']
M444_33475	3-oxoacyl-ACP synthase	['2.3.1.179']
M444_10180	pyruvate kinase	['2.7.1.40']
M444_27700	5,10-methylene-tetrahydrofolate cyclohydrolase	['1.5.1.5', '3.5.4.9']
M444_19060	cytosine deaminase	['3.5.4.1']
M444_20880	pantothenate kinase	['2.7.1.33']
M444_10675	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase	['6.3.2.9']
M444_05965	enoyl-CoA hydratase	['4.2.1.17']
M444_10440	tryptophan synthase subunit beta	['4.2.1.20']
M444_21260	malate dehydrogenase	['1.1.1.37']
M444_20255	glutaminase	['3.5.1.2']
M444_22475	succinyl-diaminopimelate desuccinylase	['3.5.1.18']
M444_21305	ornithine--oxo-acid aminotransferase	['2.6.1.13']
M444_15195	glutamate synthase	['1.4.1.13']
M444_24515	isopropylmalate isomerase	['4.2.1.33']
M444_25625	vitamin B12-dependent ribonucleotide reductase	['1.17.4.1']
M444_06935	isocitrate dehydrogenase	['1.1.1.42']
M444_32470	enoyl-CoA hydratase	['4.2.1.17']
M444_23210	alpha-ketoglutarate decarboxylase	['4.1.1.71']
M444_07710	S-adenosylmethionine synthetase	['2.5.1.6']
M444_08260	argininosuccinate synthase	['6.3.4.5']
M444_00405	aminotransferase	['2.6.1.2']
M444_12800	Clp protease	['3.4.21.92']
M444_06635	2,4-dienoyl-CoA reductase	['1.3.1.34']
M444_07135	acetoacetyl-CoA synthetase	['6.2.1.16']
M444_10470	anthranilate synthase component I	['4.1.3.27']
M444_21310	serine hydroxymethyltransferase	['2.1.2.1']
M444_25065	gamma-aminobutyraldehyde dehydrogenase	['1.2.1.19']
M444_21095	GMP synthase	['6.3.5.2']
M444_14695	ribose-phosphate pyrophosphokinase	['2.7.6.1']
M444_28000	acetyl-CoA acetyltransferase	['2.3.1.9']
M444_14690	bifunctional N-acetylglucosamine-1-phosphate uridyltransferase/glucosamine-1-phosphate acetyltransferase	['2.3.1.157']
