Reaction ID	Reaction name	Lower bound	Reaction equation	GPR	Pathway
ACTS1	Malonyl-CoA-ACP transacylase (actinorhodin ACP)	-1000.0	1.0 ACPact_c + 1.0 malcoa_c <=> 1.0 malACPact_c + 1.0 coa_c	(SCO5089)	Actinorhodin Biosynthesis
ACTS10	actIII ketoacyl reductase	0.0	1.0 actint1ACPact_c + 1.0 nadph_c + 1.0 h_c -> 1.0 actint2ACPact_c + 1.0 nadp_c	(SCO5086 or SCO1611 or SCO7363 or SCO1346 or SCO1815 or SCO1681)	Actinorhodin Biosynthesis
ACTS11	actVII aromatase	0.0	1.0 actint2ACPact_c -> 2.0 h2o_c + 1.0 actint3ACPact_c	(SCO5090)	Actinorhodin Biosynthesis
ACTS12	actIV cyclase	0.0	1.0 actint3ACPact_c -> 1.0 actint4ACPact_c + 1.0 h2o_c	(SCO5091)	Actinorhodin Biosynthesis
ACTS13	hydroxylacyl-CoA dehydrogenase	0.0	1.0 actint4ACPact_c + 1.0 nadph_c + 1.0 h_c -> 1.0 nadp_c + 1.0 actint5ACPact_c	(SCO5072 or SCO6297)	Actinorhodin Biosynthesis
ACTS14	actVI dehydratase	0.0	1.0 actint5ACPact_c -> 1.0 h2o_c + 1.0 dnpaACPact_c	(SCO5071 or SCO5074)	Actinorhodin Biosynthesis
ACTS15	actVI oxidoreductase	0.0	1.0 nadph_c + 1.0 h_c + 1.0 dnpaACPact_c -> 1.0 nadp_c + 1.0 ddhkACPact_c	(SCO5023 or SCO4521 or SCO4547)	Actinorhodin Biosynthesis
ACTS16	actVA-5/actVB monooxygenase	0.0	1.0 o2_c + 1.0 ddhkACPact_c -> 1.0 h2o_c + 1.0 dhkACPact_c	((SCO5080 and SCO5092) or SCO5081)	Actinorhodin Biosynthesis
ACTS17	actVA-5/actVB monooxygenase 2	0.0	1.0 o2_c + 1.0 nadh_c + 1.0 h_c + 1.0 dhkACPact_c -> 1.0 hdhkACPact_c + 1.0 h2o_c + 1.0 nad_c	((SCO5080 and SCO5092))	Actinorhodin Biosynthesis
ACTS2	polyketide chain elongation 1	0.0	1.0 malACPact_c + 1.0 h_c + 1.0 accoa_c -> 1.0 co2_c + 1.0 coa_c + 1.0 actACPact_c	((SCO2390 and SCO5886 and SCO5088 and SCO5087 and SCO3248 and SCO5317 and SCO5318 and SCO1266 and SCO0548 and SCO5088 and SCO5087 and SCO5317 and SCO5318 and SCO1266))	Actinorhodin Biosynthesis
