AA958_05340	cobalamin biosynthesis protein CobN	['6.6.1.2']
AA958_25095	pyruvate kinase	['2.7.1.40']
AA958_12230	3-hydroxybutyryl-CoA dehydrogenase	['1.1.1.157']
AA958_27700	enoyl-CoA hydratase	['4.2.1.17']
AA958_04600	homogentisate 1,2-dioxygenase	['1.13.11.5']
AA958_23115	succinate dehydrogenase	['1.3.5.1']
AA958_16215	DNA polymerase III subunit beta	['2.7.7.7']
AA958_25555	acetolactate synthase 1 catalytic subunit	['2.2.1.6']
AA958_02460	4-hydroxythreonine-4-phosphate dehydrogenase	['1.1.1.262']
AA958_06180	anthranilate synthase component I	['4.1.3.27']
AA958_20630	NADH:ubiquinone oxidoreductase subunit K	['1.6.99.5']
AA958_16300	para-aminobenzoate synthase	['2.6.1.85']
AA958_12000	bifunctional N-acetylglucosamine-1-phosphate uridyltransferase/glucosamine-1-phosphate acetyltransferase	['2.3.1.157']
AA958_06020	pyruvate kinase	['2.7.1.40']
AA958_12550	acetyl-CoA acetyltransferase	['2.3.1.9']
AA958_12005	ribose-phosphate pyrophosphokinase	['2.7.6.1']
AA958_17475	dihydroxy-acid dehydratase	['4.2.1.9']
AA958_26115	gamma-aminobutyraldehyde dehydrogenase	['1.2.1.19']
AA958_01210	UDP pyrophosphate phosphatase	['3.6.1.27']
AA958_22400	phosphoenolpyruvate carboxykinase	['4.1.1.32']
AA958_26680	vitamin B12-dependent ribonucleotide reductase	['1.17.4.1']
AA958_05630	transaldolase	['2.2.1.2']
AA958_25620	branched-chain amino acid aminotransferase	['2.6.1.42']
AA958_13120	citrate synthase 2	['2.3.3.1']
AA958_19780	threonine synthase	['4.2.3.1']
AA958_24875	ATP F0F1 synthase subunit beta	['3.6.3.14']
AA958_11535	imidazolonepropionase	['3.5.2.7']
AA958_11730	enolase	['4.2.1.11']
AA958_01600	acetoacetyl-CoA synthetase	['6.2.1.16']
AA958_05485	dihydroxy-acid dehydratase	['4.2.1.9']
AA958_17880	dihydroxy-acid dehydratase	['4.2.1.9']
AA958_11595	acetyl-CoA acetyltransferase	['2.3.1.9']
AA958_12545	3-ketoacyl-ACP reductase	['1.1.1.100']
AA958_25730	isopropylmalate isomerase	['4.2.1.33']
AA958_06690	6-phosphofructokinase	['2.7.1.11']
AA958_21850	serine hydroxymethyltransferase	['2.1.2.1']
AA958_21855	ornithine--oxo-acid aminotransferase	['2.6.1.13']
AA958_26200	4-aminobutyrate aminotransferase	['2.6.1.19']
