Query ID	Predicted EC number
B446_RS00495	EC:2.7.7.6
B446_RS00505	EC:2.7.13.3
B446_RS00600	EC:3.5.1.115
B446_RS36605	EC:2.7.13.3
B446_RS00925	EC:5.4.3.2
B446_RS01000	EC:1.18.1.3
B446_RS35990	EC:2.7.11.1
B446_RS01455	EC:6.2.1.3
B446_RS01455	EC:3.6.4.13
B446_RS01530	EC:4.3.2.1
B446_RS01560	EC:1.3.1.86
B446_RS01610	EC:4.1.1.11
B446_RS01645	EC:2.1.1.77
B446_RS01800	EC:2.7.13.3
B446_RS01950	EC:2.8.1.7
B446_RS02335	EC:1.9.3.1
B446_RS02415	EC:2.1.1.197
B446_RS02475	EC:3.1.26.5
B446_RS02585	EC:1.1.1.100
B446_RS02685	EC:2.5.1.32
B446_RS02690	EC:1.3.99.29
B446_RS36800	EC:2.7.7.6
B446_RS02905	EC:1.8.4.11
B446_RS02945	EC:3.6.3.17
B446_RS03025	EC:3.6.3.31
B446_RS03065	EC:3.1.1.3
B446_RS03150	EC:3.6.3.31
B446_RS03165	EC:2.7.11.1
B446_RS03205	EC:3.1.1.3
B446_RS03270	EC:2.7.1.23
B446_RS03440	EC:3.6.3.31
B446_RS03505	EC:3.4.24.77
B446_RS03675	EC:5.4.2.2
B446_RS03680	EC:3.2.1.132
B446_RS03715	EC:2.7.13.3
B446_RS03750	EC:2.7.9.3
B446_RS03930	EC:3.2.1.4
B446_RS03975	EC:1.11.1.15
B446_RS04010	EC:2.5.1.61
B446_RS04050	EC:3.2.1.68
B446_RS04065	EC:2.4.99.16
B446_RS04070	EC:5.4.99.16
B446_RS04080	EC:2.4.1.18
B446_RS04085	EC:6.3.2.2
B446_RS04180	EC:2.7.13.3
B446_RS04275	EC:4.3.1.19
B446_RS04335	EC:1.14.18.1
B446_RS04340	EC:3.1.26.4
B446_RS04360	EC:2.1.1.255
B446_RS04400	EC:2.7.11.1
B446_RS04440	EC:3.5.4.4
B446_RS04490	EC:4.1.99.3
B446_RS04585	EC:1.1.1.18
B446_RS04645	EC:6.2.1.3
B446_RS04775	EC:2.7.1.167
B446_RS04775	EC:2.7.7.70
B446_RS04780	EC:5.3.1.28
B446_RS04985	EC:3.1.1.41
B446_RS05040	EC:3.5.1.2
B446_RS05045	EC:4.3.1.1
B446_RS05060	EC:3.6.1.27
B446_RS05120	EC:1.2.1.12
B446_RS05365	EC:2.1.1.174
B446_RS05610	EC:3.2.2.27
